country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","20-06-2026 19:00:00",13.428828,77.731418,CO,27,34,32
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","20-06-2026 19:00:00",13.328028,75.797056,PM10,27,50,35
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","20-06-2026 19:00:00",13.328028,75.797056,NO2,18,33,22
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","20-06-2026 19:00:00",14.475800,75.905200,PM2.5,NA,NA,NA
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","20-06-2026 19:00:00",14.475800,75.905200,SO2,NA,NA,NA
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","20-06-2026 19:00:00",15.459706,75.008381,PM2.5,48,80,67
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","20-06-2026 19:00:00",15.459706,75.008381,NH3,6,6,6
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","20-06-2026 19:00:00",15.411456,75.638133,PM2.5,17,39,32
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","20-06-2026 19:00:00",15.411456,75.638133,SO2,6,36,23
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","20-06-2026 19:00:00",22.6780,75.8559,OZONE,4,6,6
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","20-06-2026 19:00:00",22.7084,75.8815,PM2.5,22,44,33
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","20-06-2026 19:00:00",23.163174,79.973061,PM2.5,23,42,32
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","20-06-2026 19:00:00",23.163174,79.973061,PM10,30,45,37
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","20-06-2026 19:00:00",23.163174,79.973061,SO2,3,4,3
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","20-06-2026 19:00:00",23.163174,79.973061,OZONE,2,25,17
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","20-06-2026 19:00:00",23.142888,79.916147,PM10,45,126,69
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","20-06-2026 19:00:00",23.168606,79.932247,PM2.5,25,60,37
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","20-06-2026 19:00:00",23.168606,79.932247,CO,50,107,85
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","20-06-2026 19:00:00",23.108440,77.511428,NH3,7,10,9
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","20-06-2026 19:00:00",23.108440,77.511428,OZONE,25,76,61
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","20-06-2026 19:00:00",19.875620,75.387310,OZONE,24,77,61
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","20-06-2026 19:00:00",19.863756,75.321188,OZONE,13,105,95
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","20-06-2026 19:00:00",19.16485,73.23409,CO,15,20,17
India,Maharashtra,Beed,"Bir, Beed - MPCB","20-06-2026 19:00:00",18.988474,75.753873,SO2,1,5,3
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","20-06-2026 19:00:00",19.309073,73.057223,PM10,35,90,57
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","20-06-2026 19:00:00",19.309073,73.057223,NO2,20,34,26
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","20-06-2026 19:00:00",19.309073,73.057223,NH3,3,6,5
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","20-06-2026 19:00:00",19.309073,73.057223,SO2,5,10,8
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","20-06-2026 19:00:00",19.786089,72.757971,SO2,NA,NA,NA
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","20-06-2026 19:00:00",19.9775302,79.2337086,PM10,35,151,65
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","20-06-2026 19:00:00",28.52123,76.37138,PM2.5,39,218,85
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","20-06-2026 19:00:00",28.52123,76.37138,NO2,7,9,8
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","20-06-2026 19:00:00",29.536400,75.015800,CO,68,96,79
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","20-06-2026 19:00:00",30.1480566,77.2893471,PM10,67,138,108
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","20-06-2026 19:00:00",30.1480566,77.2893471,CO,14,40,20
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","20-06-2026 19:00:00",30.943887,76.801991,PM2.5,60,237,126
